考点大类,考点分支,题目类型,题目,A_选项,B_选项,C_选项,D_选项,答案
1）数据分析概述,"大数据的特征
",单选题,1【单选题】大数据背景下，数据支撑业务的目的是,A、建立数据科学,B、完成数据应用,C、配备数据硬件,D、吸纳数据人才,B
1）数据分析概述,"大数据的特征
",单选题,2【单选题】大数据时代，数据使用的关键是（）,A、数据收集,B、数据储存,C、数据分析,D、数据再利用,D
1）数据分析概述,"大数据的特征
",多选题,3【多选题】大数据在今天这个时间点上爆发的原因有哪些?,A、各种传感器无时无刻不在为我们提供大量的数据,B、各种监控设备无时无刻不在为我们提供大量的数据,C、各种智能设备无时无刻不在为我们提供大量的数据,D、互联网的收集和积累,ABCD
1）数据分析概述,"大数据的特征
",多选题,4【多选题】当前，大数据发展的特点是（）,A、规模较大,B、规模较小,C、增速很快,D、增速很慢,AC
1）数据分析概述,"大数据的特征
",多选题,5【多选题】关于大数据的来源，以下理解正确的是,A、大数据是数据量变积累达到质变的结果,B、数据的产生需要经历很长时间,C、我们每个人都是数据的制造者,D、当今的世界，基本上一切都可以用数字表达，所以叫数字化的世界,ACD
1）数据分析概述,"大数据的特征
",多选题,6【多选题】关于大数据的特征，叙述正确的是（）,A、海量的数据规模,B、快速的数据流转,C、多样的数据类型,D、价值密度高,ABC
1）数据分析概述,"前沿技术浅析
",单选题,1【单选题】智慧城市的构建，不包括（）,A、数字城市,B、物联网,C、联网监控,D、云计算,C
1）数据分析概述,"前沿技术浅析
",单选题,2【单选题】支撑大数据业务的基础是（）,A、数据应用,B、数据科学,C、数据人才,D、数据硬件,A
1）数据分析概述,"前沿技术浅析
",单选题,3【单选题】（）提供的支撑技术，有效解决了大数据分析、研发的问题，比如虚拟化技术、并行计算、海量存储和海量管理等。,A、点计算,B、线计算,C、云计算,D、面计算,C
1）数据分析概述,"前沿技术浅析
",单选题,4【单选题】大数据应用需依托的新技术有（）,A、大规模储存与计算,B、数据分析处理,C、智能化,D、三个选项都是,D
2）数据分析与计算机技术,"python编程基础
",单选题,"1【单选题】已知x='cpda',x*3的值是()",A、'cpda'*3,B、'cpdacpdacpda',C、'cpda3',D、'cpda cpda cpda',B
2）数据分析与计算机技术,"python编程基础
",单选题,2【单选题】表达式len('hello')的结果是(),A、'hello',B、5,C、4,"D、[0,5]",B
2）数据分析与计算机技术,"python编程基础
",单选题,"3【单选题】已知x=2,x*3表达式结果是()",A、8,B、222,C、4,D、6,D
2）数据分析与计算机技术,"python编程基础
",单选题,"4【单选题】已知x=[1,2,3,'abc'],则x的类型是()",A、列表,B、字符串,C、元组,D、数字,A
2）数据分析与计算机技术,"python编程基础
",单选题,"5【单选题】若表达式x=10,y=5,z=x-y,那么z的结果是()",A、x-y,B、5,C、-5,D、0,B
2）数据分析与计算机技术,"python编程基础
",单选题,"6【单选题】表达式x=[1,2,3,4,'数据分析','cpda'],x[4]的值是()",A、4,B、'cpda',C、'数据分析',"D、[1,2,3,4]",C
2）数据分析与计算机技术,"python编程基础
",多选题,7【多选题】下列属于python数据结构的是(),A、二叉树,B、字符串,C、字典,D、列表,BCD
2）数据分析与计算机技术,"数据可视化技术
",单选题,1【单选题】条形图与柱形图的区别在于,A、条形图是平面的，柱形图是立体的,B、条形图是二维的，柱形图是三维的,C、条形图数据各类别放在横轴，柱形图数据各类别放在纵轴,D、条形图数据各类别放在纵轴，柱形图数据各类别放在横轴,D
2）数据分析与计算机技术,"数据可视化技术
",单选题,2【单选题】气泡图主要用于描述,A、两个变量之间的相关关系,B、三个变量之间的相关关系,C、两个变量的对比关系,D、三个变量的对比关系,B
2）数据分析与计算机技术,"数据可视化技术
",单选题,3【单选题】描述急性心肌梗死患者的凝血酶浓度X与凝血时间Y的关系，宜绘制,A、条形图,B、直方图,C、散点图,D、饼图,C
2）数据分析与计算机技术,"数据可视化技术
",单选题,4【单选题】检查一组数据异常值最常用的统计图形是,A、柱状图,B、箱线图,C、帕累托图,D、气泡图,B
2）数据分析与计算机技术,"数据可视化技术
",单选题,5【单选题】对于大批量的数据，最适合描述其分布的图形是,A、条形图,B、茎叶图,C、直方图,D、饼图,C
2）数据分析与计算机技术,"数据可视化技术
",单选题,6【单选题】比较某病不同症状在不同性别间的构成，可用,A、折线图,B、条形图,C、雷达图,D、饼图,D
2）数据分析与计算机技术,"数据可视化技术
",多选题,7【多选题】下列可用于多维数据比较的图表类型有,A、雷达图,B、圆环图,C、散点图,D、柱形图,AB
2）数据分析与计算机技术,"数据可视化技术
",多选题,8【多选题】下列可描述相关关系的图表类型有,A、散点图,B、饼图,C、气泡图,D、瀑布图,AC
2）数据分析与计算机技术,"数据可视化技术
",多选题,9【多选题】下列可描述数据走势或趋势的图表类型有,A、柱形图,B、折线图,C、面积图,D、饼图,ABC
2）数据分析与计算机技术,"数据可视化技术
",多选题,10【多选题】当直方图出现锯齿参差不齐、凹凸不平的形状，这可能是由于（）造成的。,A、数据分组太多,B、测量仪器误差过大,C、观测数据不准确,D、每个值的百分比差距太大,ABC
3）数据分析与企业战略管理,"战略管理模型
",单选题,1【单选题】SWOT分析中，反映外界环境的是（）,A、机会和威胁,B、机会和优势,C、威胁和劣势,D、优势和劣势,A
3）数据分析与企业战略管理,"战略管理模型
",单选题,2【单选题】环境中的法律政策因素表现在（）,A、社会中不同种族群体的政治取向,B、社会中不同政治团体的技术价值观,C、公司和其他组织与政府之间相互影响的结果,D、对企业和其他组织对政府的态度的研究,C
3）数据分析与企业战略管理,"战略管理模型
",单选题,3【单选题】经济环境是指（）,A、一个公司参与其中竞争的经济体的经济特征和发展方向,B、由世界银行提供的世界经济展望,C、对环境变动与世界经济之间如何相互影响的分析,D、对新的环境规则将如何影响经济的分析,A
3）数据分析与企业战略管理,"战略管理模型
",多选题,4【多选题】对于旅游企业来说，下列因素中不属于宏观因素的是（）,A、某旅游点发生地震,B、旅游景点居民收入水平逐年提高,C、国家允许国人处境旅游,D、国内居民用于旅游的消费支出增长明显,AB
3）数据分析与企业战略管理,"企业战略管理应用
",单选题,1【单选题】把鸡蛋放在一只篮子里的做法是什么战略的形象表述（）,A、集中化战略,B、一体化战略,C、差异性战略,D、多元化战略,A
3）数据分析与企业战略管理,"企业战略管理应用
",单选题,2【单选题】被称为特殊有形资源的是（）,A、财务资源,B、组织资源,C、实物资源,D、人力资源,D
3）数据分析与企业战略管理,"企业战略管理应用
",单选题,3【单选题】确定企业宗旨必须弄清楚企业与（）之间的关系。,A、股东,B、顾客,C、政府,D、雇员,B
3）数据分析与企业战略管理,"企业战略管理应用
",单选题,4【单选题】公司层的全球化战略认为（）,A、世界上对产品的需求不断增长,B、全世界的收入水平提高,C、不同国家间的文化差异加剧,D、不同国家市场的产品更趋于标准化,D
3）数据分析与企业战略管理,"企业战略管理应用
",单选题,5【单选题】不属于发展战略的是（）,A、集中战略,B、一体化战略,C、多样化战略,D、收获战略,D
3）数据分析与企业战略管理,"企业战略管理应用
",多选题,6【多选题】什么是战略（）,A、组织的长期发展方向,B、确定公司的长期目标以及为实现这些目标所需的行动方案选择和资源配置,C、一连串决策过程中形成的模式,D、竞争战略就是差异化，它意味着谨慎选择不同的行动以实现独特的综合价值,ABCD
3）数据分析与企业战略管理,"企业战略管理应用
",多选题,7【多选题】公司战略的类型主要包括（）,A、增长型战略,B、变革型战略,C、稳定型战略,D、防御型战略,ACD
4）数据获取,"数据获取的方法
",单选题,1【单选题】市场调查有很多方法，面谈调查属于其中的,A、观察法,B、访问法,C、实验法,D、量表法,B
4）数据获取,"数据获取的方法
",多选题,2【多选题】数据资料的来源有,A、政府机关或者部门的统计数据,B、书刊杂志,C、以往的行业报告,D、互联网,ABCD
4）数据获取,"数据获取的方法
",多选题,3【多选题】数据根据规模来划分，可以分为,A、二手数据,B、传统数据,C、大数据,D、结构化数据,BC
4）数据获取,"数据获取的方法
",多选题,4【多选题】面谈调查的询问方式一般有,A、自由问答,B、倾向偏差询问,C、发问式面谈,D、限定选择,ABCD
4）数据获取,"数据库与数据仓库
",单选题,1【单选题】关系数据模型的基本数据结构是,A、树,B、图,C、索引,D、关系,D
4）数据获取,"数据库与数据仓库
",单选题,2【单选题】数据库的三要素，不包括,A、完整性规则,B、数据结构,C、恢复,D、数据操作,C
4）数据获取,"数据库与数据仓库
",单选题,3【单选题】数据仓库的最终目的是(),A、收集业务需求,B、建立数据仓库逻辑模型,C、开发数据仓库的应用分析,D、为用户和业务部门提供决策支持,D
4）数据获取,"数据库与数据仓库
",单选题,4【单选题】数据库中存放两个关系：教师(教师编号，姓名)和课程(课程号，课程名，教师编号)，为快速查出某位教师所讲授的课程，应该,A、在教师表上按教师编号建索引,B、在课程表上按教师编号建索引,C、在课程表上按课程号建索引,D、在教师表上按姓名建索引,B
4）数据获取,"数据库与数据仓库
",单选题,5【单选题】数据库系统的核心是,A、数据库,B、数据库管理系统,C、数据模型,D、软件工具,B
4）数据获取,"数据库与数据仓库
",单选题,6【单选题】下列四项中，不正确的提法是,A、SQL语言是关系数据库的国际标准语言,B、SQL语言具有数据定义、查询、操纵和控制功能,C、SQL语言可以自动实现关系数据库的规范化,D、SQL语言称为结构查询语言,C
4）数据获取,"数据库与数据仓库
",单选题,7【单选题】下列四项中，不属于数据库系统的特点的是,A、数据结构化,B、数据由DBMS统一管理和控制,C、数据冗余度大,D、数据独立性高,C
4）数据获取,"数据库与数据仓库
",多选题,8【多选题】数据库是一个（）数据集合,A、长期存储在计算机内的,B、有组织的,C、可共享的,D、统一管理的,ABCD
4）数据获取,"SQL基础
",单选题,1【单选题】SQL语言允许使用通配符进行字符串匹配的操作，其中‘%’可以表示,A、零个字符,B、1个字符,C、多个字符,D、以上都可以,D
4）数据获取,"SQL基础
",单选题,2【单选题】SQL语言中，删除一个视图的命令是,A、DELETE,B、DROP,C、CLEAR,D、REMOVE,B
4）数据获取,"SQL基础
",单选题,3【单选题】SQL中，数据库的并发操作可能带来什么问题,A、非法用户的使用,B、丢失更新,C、数据独立性会提高,D、增加数据冗余度,B
4）数据获取,"SQL基础
",单选题,4【单选题】下面哪个不是SQLServer数据库的系统数据类型,A、int、smallint,B、char、varchar,C、string、char,D、datetime、int,C
4）数据获取,"SQL基础
",单选题,5【单选题】SQL中，剔除记录的命令是,A、DELETE,B、DROP,C、CLEAR,D、REMOVE,A
4）数据获取,"SQL基础
",单选题,6【单选题】SQL语言是()语言。,A、层次数据库,B、网络数据库,C、关系数据库,D、系统数据库,C
4）数据获取,"SQL基础
",单选题,7【单选题】SELECT-SQL语句是（）,A、选择工作区语句,B、数据查询语句,C、选择标准语句,D、数据修改语句,B
4）数据获取,"SQL基础
",单选题,8【单选题】在SQL中，建立表用的命令是,A、CREATE SCHEMA,B、CREATE TABLE,C、CREATE VIEW,D、CREATE DATABASE,B
4）数据获取,"SQL基础
",单选题,9【单选题】SQL查询语句中HAVING子句的作用是（）,A、指出分组查询的范围,B、指出分组查询的内容,C、指出分组查询的条件,D、以上均不对,C
4）数据获取,"SQL基础
",单选题,10【单选题】SQL的视图是从()中导出的。,A、基本表,B、视图,C、基本表或视图,D、数据库,C
4）数据获取,"SQL基础
",单选题,11【单选题】SQL的数据操作语句不包括,A、INSERT,B、UPDATE,C、DELETE,D、CHANGE,D
4）数据获取,"SQL基础
",单选题,12【单选题】要查询book表中所有书名中以“中国”开头的书籍的价格，可用语句。,A、SELECT price FROM book WHERE book_name = ‘中国*’,B、SELECT price FROM book WHERE book_name LIKE ‘中国*’,C、SELECT price FROM book WHERE book_name = ‘中国%’,D、SELECT price FROM book WHERE book_name LIKE ‘中国%’,D
5）数据探索,"描述性统计
",单选题,"1【单选题】9个家庭的平均收入如下：1500,750,780,1080,850,960,2000,1250,1630,那么这9个家庭的平均收入为（）",A、1080,B、1250,C、1000,D、1200,D
5）数据探索,"描述性统计
",单选题,2【单选题】四分位差是一组数据集中，（）的差值,A、四分之三位数与四分之一位数,B、四分之三位数与最大值,C、最大值和最小值,D、四分之一位数与最小值,A
5）数据探索,"描述性统计
",单选题,3【单选题】在一组数据中，出现频数最多，频率最高的数值，称之为（）,A、中位数,B、众数,C、最大值,D、最小值,B
5）数据探索,"描述性统计
",多选题,4【多选题】关于方差和标准差，下列说法正确的是,A、方差或标准差越大，数据集的离散程度就越大,B、方差或标准差越小，数据集的离散程度越大,C、方差或标准差越大，数据集的离散程度越小,D、方差或标准差越小，数据集的离散程度越小,AD
5）数据探索,"描述性统计
",多选题,5【多选题】关于变异系数的表述，下列说法正确的是,A、变异系数是用来比较不同变量或数据集的离散程度,B、变异系数越大，数据集的离散程度越大,C、变异系数越小，数据集的离散程度越大,D、变异系数是数据集的标准差与平均数之比,ABD
5）数据探索,"描述性统计
",多选题,6【多选题】对于算术平均数的特点，下列说法正确的是？,A、容易受到异常值的影响,B、综合反映全部数据的信息,C、只适用于数值型数据,D、可用于推算总体中的总量指标,ABCD
5）数据探索,"描述性统计
",多选题,7【多选题】对于数据离散程度，下列说法正确的是（）,A、反映变量的稳定性,B、可以用方差和标准差度量,C、离散程度越大，平均值的代表性越好,D、离散程度决定数据的分布集中程度,ABD
5）数据探索,"相关性分析
",单选题,1【单选题】下面的关系中不是相关关系的是,A、身高与体重之间的关系,B、工资水平与工龄之间的关系,C、农作物的单位面积产量与降雨量之间的关系,D、圆的面积与半径之间的关系,D
5）数据探索,"相关性分析
",多选题,2【多选题】以下关于皮尔森相关分析叙述正确的是,A、两变量独立，两者的皮尔森相关系数必然等于0,B、两变量皮尔森相关系数不等于0，两者必然不独立,C、皮尔森相关系数不为零，不能指明两变量是否独立,D、两变量不独立，两者的皮尔森相关系数必然不等于0,AB
5）数据探索,"相关性分析
",多选题,3【多选题】下列说法中不正确的是（）,A、任何两个变量都具有相关关系,B、人的知识与其年龄具有相关关系,C、散点图中的各点都是分散没有规律的,D、根据散点图求得的回归直线方程都是有意义的,ACD
5）数据探索,"相关性分析
",多选题,4【多选题】相关分析的任务有,A、判定现象之间有无关系,B、判定现象之间关系的方向,C、判定相关关系的紧密程度,D、说明现象之间联系的具体形式,ABCD
5）数据探索,"相关性分析
",多选题,5【多选题】相关有以下几种,A、正相关,B、负相关,C、零相关,D、常相关,ABC
6）数据处理,"数据清洗
",单选题,1【单选题】（）是一个观测值，它与其他观测值的差别如此之大，以至于怀疑它是由不同的机制产生的。,A、边界点,B、质心,C、离群点,D、核心点,C
6）数据处理,"数据清洗
",单选题,2【单选题】错误值(WrongValue)的处理是在知识发掘处理(KnowledgeDiscoveryProcess)中的哪一个阶段？,A、数据清洗,B、数据选择,C、数据编码,D、数据扩充,A
6）数据处理,"数据清洗
",单选题,"3【单选题】对于表TA(tel,net，…),其中tel为手机号，net为订购的上网流量套餐，如50M、100M等，若未订购则为空。为了分析客户上网对客户总费用的影响情况，下列哪种对空值的处理方式最合理的？",A、将空缺观测全部删除将空缺观测全部删除,B、用所有客户上网套餐的中位数来替代,C、用所有客户上网套餐的众数来替代,D、单独作为一类或者填充为0,D
6）数据处理,"数据清洗
",单选题,"4【单选题】假设12个销售价格记录组已经排序如下：5,10,11,13,15,35,50,55,72,92,204,215，等宽划分时（宽度为50），15在哪个箱子里？",A、第一个,B、第二个,C、第三个,D、第四个,A
6）数据处理,"数据清洗
",单选题,"5【单选题】假设12个销售价格记录组已经排序如下：5,10,11,13,15,35,50,55,72,92,204,215，等频划分时（数量为4），15在哪个箱子里？",A、第一个,B、第二个,C、第三个,D、第四个,B
6）数据处理,"数据集成
",单选题,1【单选题】将原始数据进行集成、变换、维度规约、数值规约是在以下哪个步骤的任务？,A、频繁模式挖掘,B、分类和预测,C、数据预处理,D、数据流挖掘,C
6）数据处理,"数据集成
",多选题,2【多选题】对于数据挖掘中的原始数据，可能存在的问题有（）,A、不一致,B、重复,C、不完整,D、含噪声,ABCD
6）数据处理,"数据形态变换
",单选题,1【单选题】一组数据呈现左偏分布形态，经计算得到：算术平均数<中位数<众数，那么这组数据呈现,A、对称分布,B、左偏分布,C、右偏分布,D、正态分布,B
6）数据处理,"标准化和归一化变换
",单选题,1【单选题】()的目的在于缩小数据的取值范围，使其更适合数据挖掘算法的需要，并且能够得到和原始数据相同的分析结果。,A、数据清洗,B、数据集成,C、数据归约,D、数据变换,D
6）数据处理,"标准化和归一化变换
",单选题,2【单选题】假设属性income的最大最小值分别是12000元和98000元。利用最大最小规范化的方法将属性的值映射到0至1的范围内。对属性income的73600元将被转化为,A、0.821,B、1.224,C、1.458,D、0.716,D
6）数据处理,"标准化和归一化变换
",单选题,3【单选题】（）是最常用的标准化方法，即每一变量值与其平均值之差除以该变量的标准差。,A、min-max标准化,B、log函数转换,C、atan函数转换,D、z-score标准化,D
6）数据处理,"标准化和归一化变换
",单选题,4【单选题】最大值最小值标准化后，新数据的取值范围将在（）,A、（0，1）,B、（-1，1）,"C、[0,1]","D、[-1,1]",C
6）数据处理,"哑变量
",单选题,1【单选题】当数据中的定性自变量有n个水平的时候，我们需要设置（）个哑变量,A、n,B、n+1,C、n-1,D、2,C
6）数据处理,"数据降维与主成分分析
",单选题,1【单选题】当特征根（）时，可以选作主成分。,A、小于1,B、大于1,C、等于1,D、不等于1,B
6）数据处理,"数据降维与主成分分析
",单选题,2【单选题】对高维变量空间进行降维处理的方法包括（）,A、主成分分析和因子分析,B、聚类分析和对应分析,C、聚类分析和主成分分析,D、因子分析和聚类分析,A
6）数据处理,"数据降维与主成分分析
",单选题,3【单选题】对于减少数据集的维度，以下哪种操作是正确的（）,A、删除缺少值太多的列,B、删除数据差异较大的列,C、删除不同数据趋势的列,D、都不是,A
6）数据处理,"数据降维与主成分分析
",单选题,4【单选题】关于主成分数目的选取，正确的是（）,A、保留多少个主成分取决于累计方差在方差总和中所占百分比,B、一般选择50%以上,C、选择前两个就可以,D、选择的数目和变量的个数一致,A
6）数据处理,"数据降维与主成分分析
",单选题,5【单选题】如果原始的变量之间相关程度高，则降维的效果（），主成分（）。,A、较好，较多,B、较好，较少,C、较差，较少,D、较差，较多,B
6）数据处理,"数据降维与主成分分析
",多选题,6【多选题】关于主成分分析的说法下列正确的是（）,A、提取的主成分之间互不相关,B、主成分分析是通过构造潜在的变量来进行分析,C、第一主成分对应的特征根的值最大,D、主成分分析需要提取三个以上的主成分,AC
6）数据处理,"数据降维与主成分分析
",多选题,7【多选题】下列关于主成分分析的说法中正确的是（）,A、主成分分析是线性降维算法。,B、贡献率越大，主成分分析的效果越好。,C、当涉及变量的量纲不同或取值范围相差较大的指标时，应考虑从相关系数矩阵出发进行主成分分析；对同度量或取值范围相差不大的数据，可以从协方差阵出发。,D、主成分分析可以充分保留原始数据中的信息，是首要考虑的降维方法。,AC
6）数据处理,"数据降维与主成分分析
",多选题,8【多选题】下列说法中错误的是（）,A、主成分分析就是设法将原来众多具有一定相关性的变量，重新组合成一组互相无关的综合指标来代替原来的指标。,B、如果原始变量不怎么相关，降维的效果会很差。,C、因子分析的效果会比主成分分析好很多，因此实际应用中较为常用。,D、主成分分析的效果比因子分析的好很多，因此实际中较常使用。,CD
7）决策分析,"结果分析中的常见问题
",单选题,1【单选题】决策必须至少要有（）以上备选方案。,A、一个,B、两个,C、三个,D、四个,B
7）决策分析,"结果分析中的常见问题
",单选题,2【单选题】用部分数据推断总体数据的方法，属于（）,A、理论统计学的内容,B、应用统计学的内容,C、推断统计学的内容,D、描述统计学的内容,C
7）决策分析,"结果分析中的常见问题
",多选题,3【多选题】一般来讲，数据分析的流程包括,A、数据获取,B、数据清洗,C、模型构建,D、模型检验,ABCD
8）数学基础,"概率与统计学基础
",单选题,1【单选题】将一颗均匀的骰子投掷两次，不能作为随机变量的是。,A、两次出现的点数之和,B、两次投掷出的最大点数,C、第一次减去第二次的点数差,D、投掷的次数,D
8）数学基础,"概率与统计学基础
",单选题,2【单选题】某次英语考试的标准差为5.1分，考虑到这次考试的题目太难，评分时给每位应试者都加了10分，加分后成绩的标准差是,A、10,B、15.1,C、5.1,D、-5.1,C
8）数学基础,"概率与统计学基础
",单选题,3【单选题】某小区60％居民订晚报，45％订青年报，30％两报均订，随机抽一户。则至少订一种报的概率为,A、0.82,B、0.85,C、0.74,D、0.75,D
8）数学基础,"概率与统计学基础
",单选题,4【单选题】任一随机事件出现的概率为,A、在-1到1之间,B、小于0,C、不小于1,D、在0与1之间,D
8）数学基础,"概率与统计学基础
",单选题,5【单选题】下列说法正确的是,A、如果一件事发生的机会只有千万分之一，那么它就是不可能事件,B、如果一件事发生的机会达99.999%，那么它就是必然事件,C、如果一件事不是不可能事件，那么它就是必然事件,D、如果一件事不是必然事件，那么它就是不可能事件或随机事件,D
8）数学基础,"概率与统计学基础
",单选题,6【单选题】小明投篮10次，有9次投中，1次未投中。现在小明再投一球，未投中的概率是,A、0.1,B、0.5,C、0.9,D、1,A
8）数学基础,"概率与统计学基础
",单选题,7【单选题】有10支股票，3支可以获利，7支将会亏损。你打算从10支股票中选择4支购买，那么3支能获利的股票都被购买到的概率为：,A、0.3,B、0.0333,C、0.4,D、0.7,B
8）数学基础,"概率与统计学基础
",单选题,8【单选题】有10支股票，3支可以获利，7支将会亏损。你打算从10支股票中选择4支购买，那么3支能获利的股票中，恰有2支被购买到的概率为：,A、0.3,B、0.0333,C、0.4,D、0.7,A
8）数学基础,"概率与统计学基础
",单选题,9【单选题】在天气预报中，有“降水概率预报”，例如预报“明天降水概率为78%”，这是指,A、明天该地区有78%的地区降水，其他22%的地区不降水,B、明天该地区约有78%的时间降水，其他时间不降水,C、气象台的专家中，有78%的人认为会降水，另外22%的专家认为不降水,D、明天该地区的降水的可能性为78%,D
8）数学基础,"概率与统计学基础
",单选题,10【单选题】掷一枚骰子，出现的以下事件可能性最大的是,A、点数为3的倍数,B、点数为奇数,C、点数不小于3,D、点数不大于3,C
